#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"@太原师范学院- 进来招人，哈哈哈//@如初蜀黍:你伤害了我  还一????而过,#网吧抓儿子打错人# 网吧抓儿子打错人 最后还用了 化解尴尬 阿粪青的微博视频 ?"
"支持紫大大。@太原师范学院- 听见没有？,【“起侮辱性绰号”也属欺凌！严惩涉校违法犯罪！】近年校园欺凌事件时有发生，对于校园欺凌你了解多少？不管哪个年龄阶段，如果遭受校园欺凌，应该勇敢站出来，及时报警！法律给你撑腰！！！戳↓↓图/人民日报 @中国警方在线 @晋中公安??@山西公安?? ???"
#太原师范学院#当热度已然褪去，瑶瑶最终是赢家，她不妥协，不退让，不和恶势力作斗争。也不枉费我们这些天的努力，网络暴民们，我送你们一句话，善恶终有报，只是时候还未到，以后你们会承受报应的，学妹学弟们来我这签个到吧 ?
"//@比比巴巴吼:#李梓瑶# #太原师范学院# #赵湘# #校园霸凌# #正义网友与太原师范王芝芝通话录音# #芝芝不要妥协# 加油加油加油,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#不要报考太原师范学院#我日 真可怕 ?
◆点石书法高考培训中心2010年书法高考光荣榜◆  网页链接 广西艺术学院 269分  侯成思 湖南凤凰县高级中学 广西艺术学院 260分  太原师范学院 5人  贾 蕊 焦作市十一中 太原师范学院第8名  张柳明 郑州市女子高中 太原师范学院... ～帅气。 ?
太原师范学院的郜锋等，你们听好了，及早道歉，赔偿那十几个学生的损失，全国人民可能还会原谅你们！你们等着上被告席吗？ ?
#太原师范回应 未发生暴力行为# 太原师范学院暴力事件热度好像降下去了，很想知道最终到底怎么处理的，有没有给受害者一个公道的结果。 ?
"一段真实的录音，揭露太原师范学院不为人知的阴暗面,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事件的，先要求被霸凌学生删除微博未果，接着限制被霸凌学生的人身自由，没收学生手机，登陆学生微博账号删除爆料微博，再发两条“改口微博”，公然欺骗全社会！等明天王芝芝父母到校，肯定是软硬兼施，最后大事化小，小事化了……  @韩东言 @苏渝 @学生来吐槽 @哔哩剧小综 @纸上速评 @Mr孙宁 @扒圈新闻 @遇见吴杰臻 @野比大雄 全然不同的微博视频 收起全文"
#太原师范学院校园暴力# 学校给了学生多大压力？～匀称。 ?
"//@向工作狂学习:#山西太原师范学院# 希望有聪明的大学愿意接受芝芝和小龙的转学，这样等于是免费在全国人民面前为自己学校打广告了。芝芝和小龙维权也没用后顾之忧了！希望正义终将响彻每个人的心！,昨天早上，我与芝芝及其朋友已经从学校里溜出来了，这两天我们一直与家人在校外，很安全，大家别担心，也很抱歉没有及时跟你们报平安，真的很谢谢大家。我们也在努力，会让施害者付出应负的责任。 ?"
"//@有马甲的热心少女:恶人需要严惩，我们需要正义，希望大家能够关注我们芝芝和小龙受到的校园欺凌，谢谢大家??????#山西太原师范学院# #太原师范回应 未发生暴力行为#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原師範學院校園暴力# 这段时间一直关注的一件事情，希望我能得到好消息。 ?
#太原师范回应女生遭校园暴力# 现在是不是裸照可以随便发@太原师范学院- @平安太原 望有关部门有所回应@太原师范学院- ?
#太原师范学院#我就服气山西警官，大佬发了三条微博，他们可以直接无视，还把评论关了，不把大佬放眼里！@中国警方在线 给大佬倒茶 株洲 ?
#距离高考仅剩4天#太原师范学院，河南新乡李梓摇校园暴力，学校蛇鼠一窝，希望扩散 ?
"地狱空荡荡，魔鬼在人间，请大家多多关注太原师范学院校园暴力事件,分享图片 晋中·太原师范学院 ?"
"哈哈哈哈哈恭喜各位学院少一个竞争对手//@马里奥爱吃mushroom:能看到了 对了 也请大家注意一下 太原师范学院要更名太原师范大学了 恭喜恭喜,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"//@野生Bellaa:热度不要减#太原师范校园暴力##不要报考太原师范学院# #太师校园暴力# #李梓瑶 赵湘# #校园霸凌#,【#太原师范学院#大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝 ?  展开全文,【#太原师范学院#大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣服并录制视频,甚至将偷拍裸露照片和视频上传至多人群聊，其行为已导致芝芝患重度抑郁。@太原校园 收起全文"
"@太原师范学院-,【“起侮辱性绰号”也属欺凌！严惩涉校违法犯罪！】近年校园欺凌事件时有发生，对于校园欺凌你了解多少？不管哪个年龄阶段，如果遭受校园欺凌，应该勇敢站出来，及时报警！法律给你撑腰！！！戳↓↓@晋中公安   @山西公安  #瑶瑶最爱社会摇##太原师范学院# ?"
"学校这处理方式 不得不说一句 ????啊#太原师范学院# #太原师范回应 未发生暴力行为#,#太原师范回应 未发生暴力行为#已被同学证实存在施暴者，受害者，不是打打闹闹吗？@太原师范学院-  #不要报考太原师范学院# 已被证实存在施暴者受害者，施暴者施暴者施暴者同学文笔不错啊，文学院的吧（当然肯定有好的同学）知道把锅甩给网络暴力，真是研究不少时间了吧，建议你们先告 ?  展开全文,#太原师范回应 未发生暴力行为#已被同学证实存在施暴者，受害者，不是打打闹闹吗？@太原师范学院-  #不要报考太原师范学院# 已被证实存在施暴者受害者，施暴者施暴者施暴者同学文笔不错啊，文学院的吧（当然肯定有好的同学）知道把锅甩给网络暴力，真是研究不少时间了吧，建议你们先告@中国警方在线 @人民日报 他们居然带头 发你们学校带节奏!我都看不下去了!哦⊙?⊙！往地域黑上引的也有而网友，只是在小打小闹，你想要发声明嘛？图源大家查清楚很必要，你们这样遮遮掩掩谁敢相信你的，快公开查清楚啊，你的清白不保了。为您担忧@太原师范学院- 收起全文"
#李梓瑶#现在越来越多双标狗出来洗地了，如果不想这种事不断发生，就刚到底，因为我们没有人是孤岛，今天不发生，明天潘学生！#正义网友与太原师范王芝芝通话录音#赵湘#太原师范校园暴力##太原师范学院##太原师范校园暴力##太原师范回应 未发生暴力行为# ?
#正义网友与太原师范王芝芝通话录音##李梓瑶#现在越来越多双标狗出来洗地，如果不想这种事不断发生，就刚到底，因为我们没有人是孤岛，今天不发生，明天潘学生！#正义网友与太原师范王芝芝通话录音#赵湘#太原师范校园暴力##太原师范学院##太原师范校园暴力##太原师范回应 未发生暴力行为# ?
#李梓瑶##李梓瑶#现在越来越多双标狗出来洗地了，如果不想这种事不断发生，就刚到底，因为我们没有人是孤岛，今天不发生，明天潘学生！#正义网友与太原师范王芝芝通话录音#赵湘#太原师范校园暴力##太原师范学院##太原师范校园暴力##太原师范回应 未发生暴力行为# ！！！ ?
#距离高考仅剩4天#加油啊（报告的时候记得避开太原师范学院！） ?
"心态端正，不要紧张，然后就是千万别报太原师范学院@太原师范学院-  千万不要！！！,#2019高考季#【距离高考仅剩4天 这样调整情绪转给考生！】临近高考，许多考生因为心理压力大、学习强度高等原因，或多或少出现焦虑情绪，甚至还有人失眠。面对压力，考生和家长应该怎么办？如何才能吃好睡好，保持最佳状态？戳↓考前心态调整攻略，转发！为考生加油！ ?"
#不要报考太原师范学院##太原师范校园暴力# 渣浪限制转发第三天  继续发 ?
#起侮辱性绰号也属欺凌#@太原师范学院-其实我只想看一个结局而且都几天了还没有结局啊啊啊啊啊 ?
#太原师范学院#这特么就是新时代  比旧时代更加黑暗 而且黑的无所顾忌  黑的你望而却步 ?
"//@且歌且行且不说:建议太原师范学院录取//@我爱番茄锅底 :复读者联盟,【情话boy！#校长模仿钢铁侠表白毕业生#：母校爱你们不止三千遍】“做题一时爽，一直做题一直爽”。6月2日，内蒙古呼和浩特市第一中学2019届毕业典礼上，校长汤俊文金句频出，并套用热门综艺节目表达对学生的祝福。致辞结束，大屏幕出现校长变身钢铁侠的图片，表白高三学子：母校爱你们，不止三 ?  展开全文,【情话boy！#校长模仿钢铁侠表白毕业生#：母校爱你们不止三千遍】“做题一时爽，一直做题一直爽”。6月2日，内蒙古呼和浩特市第一中学2019届毕业典礼上，校长汤俊文金句频出，并套用热门综艺节目表达对学生的祝福。致辞结束，大屏幕出现校长变身钢铁侠的图片，表白高三学子：母校爱你们，不止三千遍！#加油吧！高考#一手video的秒拍视频 收起全文"
"#不要报考太原师范学院#  #太师校园暴力#  #太原师范学院#  #太原师范#  //@猫总青峰家的猫:#太原师范校园暴力#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#不要报考太原师范学院#如何解决#太原师范回应 未发生暴力行为# 杭州 ?
"#太原师范回应 未发生暴力行为# 【显然公众对太原师范学院的所谓官方回应并不信任，难道真的是对犯罪的包庇？只希望真相不要被谎言掩盖】【最新进展】////王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。地球。目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知 ?  展开全文,#太原师范回应 未发生暴力行为# 【显然公众对太原师范学院的所谓官方回应并不信任，难道真的是对犯罪的包庇？只希望真相不要被谎言掩盖】【最新进展】////王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。地球。目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问 ...全文 收起全文"
"@瑶瑶最爱社会摇 @太原师范学院-,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57"
"//@淮诃:#太原师范回应 未发生暴力行为# #不要报考太原师范学院# #太原师范学院# #太原師範學院校園暴力#可以理解芝芝的父母，但是真的太软弱了，这种事不能让的啊，让一步就会被对方压倒的。好在芝芝依然坚定希望芝芝依然坚定,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"//@-BigMonster-:#太原师范回应 未发生暴力行为# 太原师范学院作为一个曾经校园暴力的受害者的我真的很希望能给一个可靠的答案，求你们了，我不仅仅是帮她，也是帮助那个曾经孤立无援的我。我恨那些人吗？恨，很恨。,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？  ?  展开全文,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？ 扒圈新闻的秒拍视频 收起全文"
"这个学校真的好，进行校园暴力学校也会帮忙解决受害者#不要报考太原师范学院# //@寻找1994的你:现在不管说什么，都会有阴谋论者出来指责。 造谣成本太低， 煽风点火者想看的是自己臆想的真相，甚至并不关心真相，事件只是他们发泄不满的途径罢了。 重申:太原师范学院很好，没诸位口中那么不堪。,分享图片 晋中·太原师范学院 ?"
太原师范校园暴力后续就没了吗#太原师范学院# ?
"我老天爷我真是要气死了加油啊#太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"我推荐了@戎浩58856 提出的问题""马上就要高考了，大家这样是想影响太原师范学院的招生率?""，已有@JUYU桔 @Explosion_wz @爱瞌睡姑娘 等人回答，等你围观。更多内容，欢迎锁定@微博问答 >> 马上就要高考了，大家这样是想影响太原师范学院的招生率? ?"
"#太原师范回应 未发生暴力行为#  #正义网友与太原师范王芝芝通话录音# #太原师范学院# #校园霸凌#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
#太原师范学院#时刻关注 ?
"建议太原师范学院录取//@我爱番茄锅底 :复读者联盟,【情话boy！#校长模仿钢铁侠表白毕业生#：母校爱你们不止三千遍】“做题一时爽，一直做题一直爽”。6月2日，内蒙古呼和浩特市第一中学2019届毕业典礼上，校长汤俊文金句频出，并套用热门综艺节目表达对学生的祝福。致辞结束，大屏幕出现校长变身钢铁侠的图片，表白高三学子：母校爱你们，不止三 ?  展开全文,【情话boy！#校长模仿钢铁侠表白毕业生#：母校爱你们不止三千遍】“做题一时爽，一直做题一直爽”。6月2日，内蒙古呼和浩特市第一中学2019届毕业典礼上，校长汤俊文金句频出，并套用热门综艺节目表达对学生的祝福。致辞结束，大屏幕出现校长变身钢铁侠的图片，表白高三学子：母校爱你们，不止三千遍！#加油吧！高考#一手video的秒拍视频 收起全文"
#太原师范学院回应女生遭校园暴力#没人了吗？没人关注了吗？？？ ?
#太原师范学院##我是春虫虫哈哈哈# 今天的李梓瑶和赵湘开除学籍了吗道歉了吗今天的太师院发声明反转了吗【看广大网友能记住几天】 ?
"#2019年高考注意事项# #太原师范学院# #太师校园暴力#,#2019年高考注意事项# 填太原师范学院的学生请注意(以后可能会更名太原师范大学)，可以先搜一下#太原师范学院# ，再搜搜#太师校园暴力# ，还有另外几个相关话题。 ?"
晋中·太原师范学院，相信学校，相信个鬼 西安 ?
"#太原师范学院#受害者开始悲伤只因施暴者的欺凌受害者开始流泪只因掌权者的威压受害者开始害怕只因旁观者的冷言受害者终于绝望只因他们都在狂笑笑的不是他们自己而是受害者的愚昧无知，年少轻狂受害者的最终信仰公平正义究竟在何方？他们的最后抉择是地狱还是天堂？然而一切不会轻易结 ?  展开全文,#太原师范学院#受害者开始悲伤只因施暴者的欺凌受害者开始流泪只因掌权者的威压受害者开始害怕只因旁观者的冷言受害者终于绝望只因他们都在狂笑笑的不是他们自己而是受害者的愚昧无知，年少轻狂受害者的最终信仰公平正义究竟在何方？他们的最后抉择是地狱还是天堂？然而一切不会轻易结束罪恶之人还在路上！ 收起全文"
#太原师范学院#最后跟一次，对潘芝芝还有她父母是真的无语了......就希望快点诉讼吧 ?
#太原师范学院#英雄只能无奈正义无法伸张这个世界不会变好了能做的就是过好自己不遇到世界的黑暗 ?
"//@泡泡星云:人善被人欺 尽快走法律途径吧#太师校园暴力# #向校园欺凌说不# #校园霸凌# #太原师范回应 未发生暴力行为# #不要报考太原师范学院# #瑶湘呼应# #正义网友与太原师范王芝芝通话录音# #太原师范学院# #山西#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"邀请您回答问题""谁是”太原师范学院校园暴力”施暴者的后盾呢？""，[cp]【#太原师范学院#大二女生自曝...@冲撞跨越爆发  谁是”太原师范学院校园暴力”施暴者的后盾呢？ ?"
"邀请您回答问题""谁是”太原师范学院校园暴力”施暴者的后盾呢？""，[cp]【#太原师范学院#大二女生自曝...@抱走蔡妹  谁是”太原师范学院校园暴力”施暴者的后盾呢？ ?"
"邀请您回答问题""谁是”太原师范学院校园暴力”施暴者的后盾呢？""，[cp]【#太原师范学院#大二女生自曝...@活该暴富  谁是”太原师范学院校园暴力”施暴者的后盾呢？ ?"
#正义网友与太原师范王芝芝通话录音##太原师范回应 未发生暴力行为# @太原师范学院-  考虑好了吗 ?
【#太原师范回应女生遭校园暴力#：室友间嬉戏打闹，未发生暴力行为】5月30日晚，////太原师范学院- 发布情况说明称：①经核实，4人在宿舍内常互相嬉戏打闹，存在玩笑过度举动和不妥言行，但未发生暴力行为。东西。不存在扒衣服行为，不存在拍摄和向外发布裸照行为，视频仅发至本宿舍QQ群，未向外发散。 ?
#太师校园暴力#可以了现在想不沉都没办法了，连发什么都要延迟，不一定看得见。表面上看起来是延迟，其实自己心里也有点数#太原师范回应 未发生暴力行为##太原师范学院# ?
"#太原师范回应 未发生暴力行为# #太原师范学院回应是假的#,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问。 图⑤  “本宿舍群”上传的“小打小闹” 视频照片图⑥—⑨  5月29日芝芝发微博求助的前一 ?  展开全文,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问。 图⑤  “本宿舍群”上传的“小打小闹” 视频照片图⑥—⑨  5月29日芝芝发微博求助的前一晚和朋友聊天内容及重度抑郁证明 。 收起全文"
知道我什么时候会当舔狗吗？微博抽奖需要评论转发的时候#太原师范学院# ?
"//@姜小白的惊讶:#校园霸凌# #正义网友与太原师范王芝芝通话录音# #瑶湘呼应# #太原师范学院#,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂 ?  展开全文,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂得什么叫小群，什么叫QQ空间吗？这也是严重的传播呀，还想怎么传播？这已经涉嫌违法犯罪了。3、叫潘金莲属实吧？这就是侮辱性绰号，也是欺凌。警察叔叔明确的说，侮辱性绰号就是欺凌，学校为什么回避了这个问题？选择性失明？4、学校再解释一下，三星手机和搜狗高速浏览器那两篇微博谁发的？这也是重要问题。5、这些照片不都是王同学本人，看来学校被欺凌的还有其他人呀，如果不是被偷拍，而是明目张胆拍的，这是霸凌的直接证据呀。而且被欺凌的不止一人呀。6、我发现这个学校领导脑子有问题，根本不懂回应，嘴里说学校没责任没问题，但所列举的事实都证明了学校有问题。有点高级黑。7、建议王女生以及其他被霸凌者直接报警解决。学校已经不可信任，已经完全背离了学高为师、身正师范的师范学院的宗旨，还有这个学校有些学生三观不正。#太原师范回应女生遭校园暴力#@王芝芝会有狗的 #起侮辱性绰号也属于欺凌#！#太原师范回应 未发生暴力行为##太原师范学院##正义网友与太原师范王芝芝通话录音#  如何看待太原师范学院校园暴力事件和学校的态度？ 收起全文"
#距离高考仅剩4天##不要报考太原师范学院##太原师范学院##太师校园暴力##太原师范回应 未发生暴力行为# 热搜掉了，那就再顶回去??这届网友真优秀 ?
"//@姜小白的惊讶:#校园霸凌# #瑶湘呼应# #正义网友与太原师范王芝芝通话录音# #太原师范学院# //@打虎上山跨雪原:那个@瑞典八爪鱼 我劝你还是别说话了，把警方当成司法机关一点常识都没有，还说别人愚蠢，你这脑子里都是大粪，瞎吧儿吧儿个啥,这事有律师帮忙很好，能够依法维权，也能够提出最适合的方法，更主要的是，避免被忽悠。建议这事分三步走。1、书面道歉，是最基本的认错，这是必不可少的。2、报警，这事公安机关会调解，会有一定的办案期限，所以需要耐心等待。眼下是明天去报案，派出所能不能立案，出现啥意外都别意外，你懂的。 ?  展开全文,这事有律师帮忙很好，能够依法维权，也能够提出最适合的方法，更主要的是，避免被忽悠。建议这事分三步走。1、书面道歉，是最基本的认错，这是必不可少的。2、报警，这事公安机关会调解，会有一定的办案期限，所以需要耐心等待。眼下是明天去报案，派出所能不能立案，出现啥意外都别意外，你懂的。3、到法院起诉，看律师的意思已经想到了最严重的刑事自诉，侮辱诽谤是刑事自诉案件。我的观点还是可放手时须放手，得且饶人且饶人，都是同学，没必要整到你死我活的地步，但是，也绝对不要施暴者趾高气扬，受辱者忍气吞声的地步，离开公平正义，我想，网民不会答应的。当务之急，就是学校能够敦促施暴者认错道歉，现在学校的态度是发酵舆情的主要原因，另外，学校让那些护校蛆都撤回去吧，有他们在，就有热度，也不知道学校是精是傻。如何看待太原师范学院校园暴力事件和学校的态度？ 收起全文"
"#太原师范学院# #太原师范回应 未发生暴力行为# 我是为了这件事才重新下载了微博的，也不知道什么时候才能再把它卸载……,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问。 图⑤  “本宿舍群”上传的“小打小闹” 视频照片图⑥—⑨  5月29日芝芝发微博求助的前一 ?  展开全文,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问。 图⑤  “本宿舍群”上传的“小打小闹” 视频照片图⑥—⑨  5月29日芝芝发微博求助的前一晚和朋友聊天内容及重度抑郁证明 。 收起全文"
"#节目预告# ?近日，山西太原师范学院的校园暴力事件引起了全社会的广泛关注，把校园暴力这一话题再次推向了人们面前！也正因为这一事件，让我们明了无论是小学，中学还是大学都存在着一定的校园暴力行为。伴随着时间的推移，施暴者往往最后只有简单的一句“对不起，我之前只是跟你闹着玩的儿”，而 ?  展开全文,#节目预告# ?近日，山西太原师范学院的校园暴力事件引起了全社会的广泛关注，把校园暴力这一话题再次推向了人们面前！也正因为这一事件，让我们明了无论是小学，中学还是大学都存在着一定的校园暴力行为。伴随着时间的推移，施暴者往往最后只有简单的一句“对不起，我之前只是跟你闹着玩的儿”，而对于被施暴者而言，那些痛楚很可能会伴随一生，成为永恒的梦魇，一句对不起什么也化解不了。本期《新听讲时代》就带你走进校园暴力。 收起全文"
#太原师范学院#山西省人民政府教育督导委员会办公室电话:0351-3040914 ?
#太原师范学院#学校?? ?
"#太原师范回应 未发生暴力行为#【太原师范的问题远不止于此】请问贵校领导，图一的事是真的吗？还有老师旷课一年多的事是真的吗？网页链接相关报道：1- @太原师范学院- 情况说明 网页链接2-【太原师范学院 请向被害学生道歉】网页链接——简评：网民与“ ?  展开全文,#太原师范回应 未发生暴力行为#【太原师范的问题远不止于此】请问贵校领导，图一的事是真的吗？还有老师旷课一年多的事是真的吗？网页链接相关报道：1- @太原师范学院- 情况说明 网页链接2-【太原师范学院 请向被害学生道歉】网页链接——简评：网民与“真相”的距离有多远？让百姓了解“真相”还需要多长时间？ 真相都看不到，哪里还会有什么公平正义？关闭精选评论，那么多的“自信”又在何方？！微博平台“撤热搜删话题”已成常态，持续关注！ 收起全文"
#太原师范学院#事实证明国人只有7天记忆就像深圳南山5.16重大交通事故一样，可怜可悲 ?
#太原师范学院#热度没了，充满着无奈...这个世界怎么了呢 ?
"#2019年高考注意事项#  #校园霸凌#  #太原师范学院撤热搜#  #太原师范学院#  #正义网友与太原师范王芝芝通话录音#  #太原师范学院回应 未发生暴力行为#  #校园霸凌#,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂 ?  展开全文,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂得什么叫小群，什么叫QQ空间吗？这也是严重的传播呀，还想怎么传播？这已经涉嫌违法犯罪了。3、叫潘金莲属实吧？这就是侮辱性绰号，也是欺凌。警察叔叔明确的说，侮辱性绰号就是欺凌，学校为什么回避了这个问题？选择性失明？4、学校再解释一下，三星手机和搜狗高速浏览器那两篇微博谁发的？这也是重要问题。5、这些照片不都是王同学本人，看来学校被欺凌的还有其他人呀，如果不是被偷拍，而是明目张胆拍的，这是霸凌的直接证据呀。而且被欺凌的不止一人呀。6、我发现这个学校领导脑子有问题，根本不懂回应，嘴里说学校没责任没问题，但所列举的事实都证明了学校有问题。有点高级黑。7、建议王女生以及其他被霸凌者直接报警解决。学校已经不可信任，已经完全背离了学高为师、身正师范的师范学院的宗旨，还有这个学校有些学生三观不正。#太原师范回应女生遭校园暴力#@王芝芝会有狗的 #起侮辱性绰号也属于欺凌#！#太原师范回应 未发生暴力行为##太原师范学院##正义网友与太原师范王芝芝通话录音#  如何看待太原师范学院校园暴力事件和学校的态度？ 收起全文"
不知道说什么，推荐一个电影吧——不可饶恕#太原师范学院# ?
#太原师范学院#所以事情是不了了之了吗吃瓜吃了很多天其实很好奇一件事儿以学校整体荣誉和利益为出发点本无可厚非但是如果在这样的整体荣誉利益下，在校学生的合法权益都不能得到保障那么这种荣誉和利益到底保障的是谁？希望热搜能再上去，想看到后续 ?
